Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes,Tags
10.1.3,Action,Camera Ready,,Past Projects,,,,,420m,0,,
10.1.3.1,Action,Check camera ready 3,,Past Projects,,,2019-04-25 06:00:00 +0000,2019-04-24 07:00:00 +0000,120m,0,,
10.1.3.2,Action,Check camera ready 2,,Past Projects,,,2019-04-23 00:00:00 +0000,2019-04-23 03:55:25 +0000,120m,0,,
10.1.3.3,Action,Check camera ready,,Past Projects,,,2019-04-21 03:00:00 +0000,2019-04-22 04:48:28 +0000,60m,0,,
10.2,Action,Variance Reduction,,Past Projects,,,2019-12-02 01:00:00 +0000,,1200m,0,,
10.2.1,Action,Poster,,Past Projects,,,,,,0,,
10.2.1.1,Action,Write poster,,Past Projects,,,2019-06-12 00:00:00 +0000,2019-06-12 17:39:56 +0000,60m,0,,
10.2.1.2,Action,Polish talk,,Past Projects,,,,2019-06-07 03:07:01 +0000,45m,0,,
10.2.1.3,Action,Write poster,,Past Projects,,,2019-06-06 00:00:00 +0000,2019-06-06 05:12:35 +0000,60m,0,,
10.2.2,Action,Discussions,,Past Projects,,,,,600m,0,,
10.2.2.1,Action,Discussion with Stefano,,Past Projects,,,,2019-04-03 23:29:40 +0000,60m,0,,
10.2.2.2,Action,Discussion with Hongyu,,Past Projects,,,,2019-04-03 05:52:19 +0000,90m,0,,
10.2.2.3,Action,Discussion with Hongyu,,Past Projects,,,,2019-03-12 05:35:02 +0000,60m,0,,
10.2.2.4,Action,Discussion with Hongyu about rebuttal,,Past Projects,,,,2019-03-10 05:26:25 +0000,60m,0,,
10.2.2.5,Action,Discussion with Hongyu,,Past Projects,,,2019-03-07 07:00:00 +0000,2019-03-07 03:48:40 +0000,60m,0,,
10.2.3,Action,Writing,,Past Projects,,,,,600m,0,,
10.2.3.1,Action,Polish camera ready,,Past Projects,,,,2019-05-12 00:09:17 +0000,150m,0,,
10.2.3.2,Action,Submit camera ready,,Past Projects,,,2019-05-14 00:00:00 +0000,2019-05-12 07:00:00 +0000,90m,0,,
10.2.3.3,Action,Polish camera ready,,Past Projects,,,2019-05-05 00:00:00 +0000,2019-05-05 06:00:21 +0000,180m,0,,
10.2.3.4,Action,Write rebuttal ,,Past Projects,,,,2019-03-14 05:34:14 +0000,60m,0,,
10.2.3.5,Action,Write rebuttal,,Past Projects,,,2019-03-14 06:00:00 +0000,2019-03-15 04:46:30 +0000,120m,0,,
10.3,Action,Bias and Generalization,,Past Projects,,,,,900m,0,,
10.3.1,Action,Blog,,Past Projects,,,,,600m,0,,
10.3.1.1,Action,Write blog 3,,Past Projects,,,,2019-08-16 07:00:00 +0000,30m,0,,
10.3.1.2,Action,Write blog 2,,Past Projects,,,,2019-08-11 00:13:34 +0000,60m,0,,
10.3.1.3,Action,Write blog 1,,Past Projects,,,2019-08-10 06:00:00 +0000,2019-08-09 07:00:00 +0000,60m,0,,
10.3.1.4,Action,Write blog,,Past Projects,,,2019-04-28 00:00:00 +0000,2019-04-30 06:22:57 +0000,60m,0,,
10.3.1.5,Action,Write blog,,Past Projects,,,2019-04-27 00:00:00 +0000,2019-04-26 04:24:17 +0000,120m,0,,
10.3.1.6,Action,Write blog,,Past Projects,,,2019-04-21 03:00:00 +0000,2019-04-22 01:09:40 +0000,90m,0,,
10.3.1.7,Action,Write blog,,Past Projects,,,,2019-04-11 06:01:11 +0000,120m,0,,
10.3.1.8,Action,Write blog,,Past Projects,,,2019-04-04 01:00:00 +0000,2019-04-04 05:52:47 +0000,150m,0,,
10.3.2,Action,Discussion,,Past Projects,,,,,180m,0,,
10.3.2.1,Action,Chat with Stefano,,Past Projects,,,,2019-04-30 07:00:00 +0000,120m,0,,
10.4,Action,CycleGail,,Past Projects,,,,2019-05-23 19:51:32 +0000,,0,Actual time 35h10m,
10.4.1,Action,Brainstorms,,Past Projects,,,,2019-05-23 19:51:32 +0000,,0,Actual time 5h,
10.4.1.1,Action,Thinking session,,Past Projects,,,2019-03-27 00:00:00 +0000,2019-03-27 04:35:51 +0000,120m,0,,
10.4.1.2,Action,Thinking session,,Past Projects,,,2019-03-31 00:00:00 +0000,2019-03-30 21:59:14 +0000,120m,0,,
10.4.1.3,Action,Thinking session,,Past Projects,,,2019-04-10 00:00:00 +0000,2019-04-10 06:30:54 +0000,60m,0,,
10.4.2,Action,Chats,,Past Projects,,,,,,0,Actual time 28h10m,
10.4.2.1,Action,Chat with Kunho,,Past Projects,,,,2019-07-31 00:55:43 +0000,60m,0,,
10.4.2.2,Action,Chat with Kunho,,Past Projects,,,,2019-05-22 23:58:46 +0000,60m,0,,
10.4.2.3,Action,Chat with Kunho,,Past Projects,,,,2019-05-17 07:00:00 +0000,50m,0,,
10.4.2.4,Action,Chat with Kunho,,Past Projects,,,,2019-05-11 21:45:45 +0000,120m,0,,
10.4.2.5,Action,Chat with Kunho,,Past Projects,,,2019-05-10 22:00:00 +0000,2019-05-11 06:44:33 +0000,120m,0,,
10.4.2.6,Action,Chat with Kunho,,Past Projects,,,,2019-05-03 23:32:34 +0000,120m,0,,
10.4.2.7,Action,Chat with Stefano,,Past Projects,,,,2019-04-26 07:00:00 +0000,120m,0,,
10.4.2.8,Action,Chat with Kunho,,Past Projects,,,,2019-04-25 22:17:51 +0000,120m,0,,
10.4.2.9,Action,Chat with Stefano,,Past Projects,,,,2019-04-19 04:00:00 +0000,120m,0,,
10.4.2.10,Action,Chat with Kunho,,Past Projects,,,,2019-04-19 22:06:13 +0000,120m,0,,
10.4.2.11,Action,Chat with Kunho,,Past Projects,,,,2019-04-14 01:04:05 +0000,210m,0,,
10.4.2.12,Action,Chat with Stefano,,Past Projects,,,,2019-04-13 01:41:53 +0000,90m,0,,
10.4.2.13,Action,Chat with Kunho,,Past Projects,,,,2019-04-12 02:47:01 +0000,120m,0,,
10.4.2.14,Action,Chat with Kunho,,Past Projects,,,,2019-04-12 00:25:07 +0000,80m,0,,
10.4.2.15,Action,Chat with Kunho,,Past Projects,,,,2019-03-20 01:53:27 +0000,120m,0,,
10.4.2.16,Action,Chat with Kunho,,Past Projects,,,,2019-03-13 18:58:36 +0000,60m,0,,
10.4.3,Action,Writing,,Past Projects,,,,2019-05-23 19:51:32 +0000,,0,Actual time 2h,
10.4.3.1,Action,Writing session,,Past Projects,,,,2019-05-23 19:49:49 +0000,120m,0,,
10.5,Action,Adaptive hashing for model counting,,Past Projects,,,,,300m,0,,
10.5.1,Action,Edit submission,,Past Projects,,,,2019-06-28 04:33:56 +0000,60m,0,,
10.5.2,Action,Edit UAI submission,,Past Projects,,,,2019-03-09 11:09:46 +0000,180m,0,,
10.5.3,Action,Edit UAI submission,,Past Projects,,,2019-03-09 07:59:00 +0000,2019-03-09 07:59:00 +0000,120m,0,,
11,Project,Adversarial Examples,active,,,,,,3000m,0,Plan: spend about 50h Jul and Aug,
11.1,Action,Discussions,,Adversarial Examples,,,,,,0,,
11.1.1,Action,Chat with Yang,,Adversarial Examples,,,,2019-08-23 22:51:51 +0000,30m,0,,
11.1.2,Action,Chat with Stefano,,Adversarial Examples,,,,2019-08-23 19:46:51 +0000,60m,0,,
11.1.3,Action,Chat with Yang,,Adversarial Examples,,,,2019-07-07 00:48:58 +0000,120m,0,R46,
11.1.4,Action,Chat with Yang,,Adversarial Examples,,,2019-07-12 00:00:00 +0000,2019-07-11 23:11:09 +0000,90m,0,R46,
11.1.5,Action,Chat with Yang,,Adversarial Examples,,,2019-08-23 00:00:00 +0000,2019-08-20 06:01:59 +0000,90m,0,R46,
11.1.6,Action,Chat with Yang,,Adversarial Examples,,,2019-09-06 00:00:00 +0000,2019-09-03 02:52:06 +0000,150m,0,R46,
11.1.7,Action,Chat with Yang,,Adversarial Examples,,,2019-09-08 00:00:00 +0000,,60m,0,R46,
11.1.8,Action,Chat with Yang,,Adversarial Examples,,,,2019-06-28 06:06:17 +0000,30m,0,,
11.2,Action,Writing,,Adversarial Examples,,,,,,0,,
11.2.1,Action,Writing session,,Adversarial Examples,,,,2019-09-03 22:16:37 +0000,90m,0,,
11.2.2,Action,Writing session,,Adversarial Examples,,,,2019-09-03 02:52:33 +0000,180m,0,,
11.2.3,Action,Writing session,,Adversarial Examples,,,,2019-09-01 07:00:00 +0000,60m,0,,
11.2.4,Action,Writing session,,Adversarial Examples,,,,2019-08-28 21:42:32 +0000,120m,0,,
11.2.5,Action,Writing session,,Adversarial Examples,,,,2019-08-27 07:00:00 +0000,180m,0,,
11.2.6,Action,Writing session,,Adversarial Examples,,,,2019-08-26 22:08:40 +0000,165m,0,,
11.2.7,Action,Writing session,,Adversarial Examples,,,,2019-08-26 02:20:39 +0000,60m,0,,
11.2.8,Action,Writing session,,Adversarial Examples,,,,2019-08-24 07:00:00 +0000,120m,0,,
11.2.9,Action,Writing session,,Adversarial Examples,,,,2019-08-23 19:46:58 +0000,60m,0,,
11.2.10,Action,Writing session,,Adversarial Examples,,,,2019-08-22 05:19:57 +0000,150m,0,,
11.2.11,Action,Writing session,,Adversarial Examples,,,,2019-08-21 03:55:35 +0000,90m,0,,
11.2.12,Action,Writing session,,Adversarial Examples,,,,2019-08-20 06:02:10 +0000,30m,0,,
11.2.13,Action,Writing session,,Adversarial Examples,,,,2019-08-19 05:53:47 +0000,60m,0,,
11.2.14,Action,Writing session,,Adversarial Examples,,,,2019-07-20 05:58:23 +0000,40m,0,,
11.2.15,Action,Writing session,,Adversarial Examples,,,,2019-07-08 05:04:36 +0000,40m,0,,
11.3,Action,Brainstorm,,Adversarial Examples,,,,,,0,,
11.3.1,Action,Brainstorm session,,Adversarial Examples,,,,2019-08-22 23:49:25 +0000,60m,0,,
11.3.2,Action,Brainstorm session,,Adversarial Examples,,,,2019-08-18 03:13:54 +0000,60m,0,,
11.3.3,Action,Brainstom session,,Adversarial Examples,,,,2019-07-29 19:27:00 +0000,90m,0,,
12,Project,Generic,active,,,,2020-01-01 01:00:00 +0000,,6000m,0,,
12.1,Action,Review Anki,,Generic,,,,,1800m,0,,
12.1.1,Action,Anki Objective Aug,,Generic,,,,,,0,,
12.1.1.1,Action,Daily Review Session,,Generic,,,2019-08-01 06:00:00 +0000,2019-08-02 06:23:47 +0000,10m,0,R1234567,
12.1.1.2,Action,Daily Review Session,,Generic,,,2019-08-03 06:00:00 +0000,2019-08-03 06:00:03 +0000,10m,0,R1234567,
12.1.1.3,Action,Daily Review Session,,Generic,,,2019-08-04 06:00:00 +0000,2019-08-03 07:00:00 +0000,10m,0,R1234567,
12.1.1.4,Action,Daily Review Session,,Generic,,,2019-08-05 06:00:00 +0000,2019-08-04 07:00:00 +0000,10m,0,R1234567,
12.1.1.5,Action,Daily Review Session,,Generic,,,2019-08-06 06:00:00 +0000,2019-08-05 07:00:00 +0000,10m,0,R1234567,
12.1.1.6,Action,Daily Review Session,,Generic,,,2019-08-07 06:00:00 +0000,2019-08-06 07:00:00 +0000,10m,0,R1234567,
12.1.1.7,Action,Daily Review Session,,Generic,,,2019-08-08 06:00:00 +0000,2019-08-08 06:51:04 +0000,10m,0,R1234567,
12.1.1.8,Action,Daily Review Session,,Generic,,,2019-08-09 06:00:00 +0000,2019-08-08 07:00:00 +0000,10m,0,R1234567,
12.1.1.9,Action,Daily Review Session,,Generic,,,2019-08-10 06:00:00 +0000,2019-08-11 00:13:15 +0000,10m,0,R1234567,
12.1.1.10,Action,Daily Review Session,,Generic,,,2019-08-12 06:00:00 +0000,2019-08-13 06:34:23 +0000,10m,0,R1234567,
12.1.1.11,Action,Daily Review Session,,Generic,,,2019-08-14 06:00:00 +0000,2019-08-14 06:59:23 +0000,10m,0,R1234567,
12.1.1.12,Action,Daily Review Session,,Generic,,,2019-08-15 06:00:00 +0000,2019-08-15 07:00:00 +0000,10m,0,R1234567,
