Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes,Tags
12.1.4.11,Action,Daily Review Session,,Generic,,,2019-04-19 06:59:00 +0000,2019-04-18 07:00:00 +0000,10m,0,,
12.1.4.12,Action,Daily Review Session,,Generic,,,2019-04-20 06:59:00 +0000,2019-04-20 07:00:00 +0000,10m,0,,
12.1.4.13,Action,Daily Review Session,,Generic,,,2019-04-21 06:59:00 +0000,2019-04-22 05:18:40 +0000,10m,0,,
12.1.4.14,Action,Daily Review Session,,Generic,,,2019-04-23 06:59:00 +0000,2019-04-22 07:00:00 +0000,10m,0,,
12.1.4.15,Action,Daily Review Session,,Generic,,,2019-04-24 06:59:00 +0000,2019-04-24 02:01:31 +0000,10m,0,,
12.1.4.16,Action,Daily Review Session,,Generic,,,2019-04-25 06:59:00 +0000,2019-04-24 07:00:00 +0000,10m,0,,
12.1.4.17,Action,Daily Review Session,,Generic,,,2019-04-26 06:59:00 +0000,2019-04-25 07:00:00 +0000,10m,0,,
12.1.4.18,Action,Daily Review Session,,Generic,,,2019-04-27 06:59:00 +0000,2019-04-28 06:34:57 +0000,10m,0,,
12.1.4.19,Action,Daily Review Session,,Generic,,,2019-04-29 06:59:00 +0000,2019-04-28 07:00:00 +0000,10m,0,,
12.1.4.20,Action,Daily Review Session,,Generic,,,2019-05-02 06:59:00 +0000,2019-04-29 07:00:00 +0000,10m,0,,
12.1.5,Action,Anki Objective May,,Generic,,,,2019-06-04 00:36:11 +0000,,0,Actual time 3h,
12.1.5.1,Action,Daily Review Session,,Generic,,,2019-05-01 06:59:00 +0000,2019-05-02 05:51:44 +0000,10m,0,,
12.1.5.2,Action,Daily Review Session,,Generic,,,2019-05-03 06:59:00 +0000,2019-05-02 07:00:00 +0000,10m,0,,
12.1.5.3,Action,Daily Review Session,,Generic,,,2019-05-04 06:59:00 +0000,2019-05-05 06:37:39 +0000,10m,0,,
12.1.5.4,Action,Daily Review Session,,Generic,,,2019-05-06 06:59:00 +0000,2019-05-07 06:56:16 +0000,10m,0,,
12.1.5.5,Action,Daily Review Session,,Generic,,,2019-05-08 06:59:00 +0000,2019-05-07 22:00:00 +0000,10m,0,,
12.1.5.6,Action,Daily Review Session,,Generic,,,2019-05-09 06:59:00 +0000,2019-05-09 01:20:25 +0000,10m,0,,
12.1.5.7,Action,Daily Review Session,,Generic,,,2019-05-10 06:59:00 +0000,2019-05-10 05:04:39 +0000,10m,0,,
12.1.5.8,Action,Daily Review Session,,Generic,,,2019-05-11 06:59:00 +0000,2019-05-12 01:52:08 +0000,10m,0,,
12.1.5.9,Action,Daily Review Session,,Generic,,,2019-05-13 06:59:00 +0000,2019-05-16 06:45:34 +0000,10m,0,,
12.1.5.10,Action,Daily Review Session,,Generic,,,2019-05-17 06:59:00 +0000,2019-05-16 07:00:00 +0000,10m,0,,
12.1.5.11,Action,Daily Review Session,,Generic,,,2019-05-18 06:59:00 +0000,2019-05-21 07:00:00 +0000,15m,0,,
12.1.5.12,Action,Daily Review Session,,Generic,,,2019-05-23 06:59:00 +0000,2019-05-24 03:52:25 +0000,10m,0,,
12.1.5.13,Action,Daily Review Session,,Generic,,,2019-05-25 06:59:00 +0000,2019-05-27 20:28:49 +0000,10m,0,,
12.1.5.14,Action,Daily Review Session,,Generic,,,2019-05-28 06:59:00 +0000,2019-05-27 07:00:00 +0000,10m,0,,
12.1.5.15,Action,Daily Review Session,,Generic,,,2019-05-29 06:00:00 +0000,2019-05-30 02:30:48 +0000,10m,0,,
12.1.5.16,Action,Daily Review Session,,Generic,,,2019-05-31 06:00:00 +0000,2019-05-31 08:20:17 +0000,10m,0,,
12.1.5.17,Action,Daily Review Session,,Generic,,,2019-06-02 06:00:00 +0000,2019-06-03 08:40:33 +0000,10m,0,,
12.1.6,Action,Anki Objective June,,Generic,,,,2019-07-01 04:31:28 +0000,,0,Actual time 3h,
12.1.6.1,Action,Daily Review Session,,Generic,,,2019-06-05 06:00:00 +0000,2019-06-05 06:20:56 +0000,10m,0,,
12.1.6.2,Action,Daily Review Session,,Generic,,,2019-06-06 06:00:00 +0000,2019-06-05 07:00:00 +0000,10m,0,,
12.1.6.3,Action,Daily Review Session,,Generic,,,2019-06-07 06:00:00 +0000,2019-06-06 07:00:00 +0000,10m,0,,
12.1.6.4,Action,Daily Review Session,,Generic,,,2019-06-08 06:00:00 +0000,2019-06-08 22:42:10 +0000,10m,0,,
12.1.6.5,Action,Daily Review Session,,Generic,,,2019-06-10 06:00:00 +0000,2019-06-10 04:57:00 +0000,10m,0,,
12.1.6.6,Action,Daily Review Session,,Generic,,,2019-06-11 06:00:00 +0000,2019-06-12 19:27:07 +0000,10m,0,,
12.1.6.7,Action,Daily Review Session,,Generic,,,2019-06-13 06:00:00 +0000,2019-06-13 07:00:00 +0000,20m,0,,
12.1.6.8,Action,Daily Review Session,,Generic,,,2019-06-16 06:00:00 +0000,2019-06-16 07:00:00 +0000,10m,0,,
12.1.6.9,Action,Daily Review Session,,Generic,,,2019-06-18 06:00:00 +0000,2019-06-19 06:48:24 +0000,10m,0,,
12.1.6.10,Action,Daily Review Session,,Generic,,,2019-06-20 06:00:00 +0000,2019-06-20 05:48:28 +0000,10m,0,,
12.1.6.11,Action,Daily Review Session,,Generic,,,2019-06-21 06:00:00 +0000,2019-06-21 07:00:00 +0000,10m,0,,
12.1.6.12,Action,Daily Review Session,,Generic,,,2019-06-23 06:00:00 +0000,2019-06-23 07:00:00 +0000,10m,0,,
12.1.6.13,Action,Daily Review Session,,Generic,,,2019-06-25 06:00:00 +0000,2019-06-25 05:56:57 +0000,10m,0,,
12.1.6.14,Action,Daily Review Session,,Generic,,,2019-06-26 06:00:00 +0000,2019-06-26 06:37:23 +0000,10m,0,,
12.1.6.15,Action,Daily Review Session,,Generic,,,2019-06-27 06:00:00 +0000,2019-06-27 06:31:14 +0000,10m,0,,
12.1.6.16,Action,Daily Review Session,,Generic,,,2019-06-28 06:00:00 +0000,2019-06-29 05:42:42 +0000,10m,0,,
12.1.6.17,Action,Daily Review Session,,Generic,,,2019-06-30 06:00:00 +0000,2019-07-01 04:31:12 +0000,10m,0,,
12.2,Action,Maintain Website,,Generic,,,,,1200m,0,,
12.2.1,Action,Update website,,Generic,,,2019-06-18 00:00:00 +0000,2019-06-23 07:00:00 +0000,105m,0,,
12.3,Action,Manage Schedule,,Generic,,,,,1800m,0,,
12.3.1,Action,July,,Generic,,,,,,0,,
12.3.1.1,Action,Design recent research follow plan,,Generic,,,,2019-07-27 23:31:24 +0000,30m,0,,
12.3.2,Action,Tool Development,,Generic,,,,,600m,0,,
12.3.2.1,Action,Interactive Visualization,,Generic,,,,2019-04-25 07:00:00 +0000,30m,0,,
12.3.2.2,Action,Interactive Visualization,,Generic,,,,2019-03-23 02:08:41 +0000,240m,0,,
12.3.3,Action,April,,Generic,,,,,180m,0,,
12.3.3.1,Action,Session 1,,Generic,,,,2019-04-19 22:48:03 +0000,30m,0,,
12.3.4,Action,March,,Generic,,,,,120m,0,,
12.3.4.1,Action,session 2,,Generic,,,,2019-03-26 23:02:04 +0000,20m,0,,
12.3.4.2,Action,session 1,,Generic,,,,2019-03-11 01:46:54 +0000,60m,0,,
12.4,Action,Summer Internship,,Generic,,,,2019-05-29 00:29:28 +0000,,0,Actual time 2h20m,
12.4.1,Action,Chat with Matt,,Generic,,,,2019-05-01 21:37:05 +0000,20m,0,,
12.4.2,Action,Interview,,Generic,,,2019-04-20 00:00:00 +0000,2019-04-19 07:00:00 +0000,30m,0,,
12.4.3,Action,Interview,,Generic,,,2019-03-26 00:00:00 +0000,2019-03-25 21:18:07 +0000,30m,0,,
12.4.4,Action,interview,,Generic,,,2019-03-12 00:00:00 +0000,2019-03-11 18:40:06 +0000,60m,0,,
12.5,Action,Personal Logistics,,Generic,,,,,1800m,0,,
12.5.1,Action,MIsc,,Generic,,,,,300m,0,,
12.5.1.1,Action,Haircuts,,Generic,,,,,,0,,
12.5.1.1.1,Action,haircut,,Generic,,,,2019-06-18 07:00:00 +0000,30m,0,,
12.5.1.1.2,Action,haircut 4.19,,Generic,,,,2019-04-19 22:49:33 +0000,30m,0,,
12.5.2,Action,Visas,,Generic,,,,,,0,,
12.5.2.1,Action,Help dad with visa,,Generic,,,,2019-08-07 06:59:11 +0000,60m,0,,
12.5.3,Action,Taxes,,Generic,,,,,120m,0,,
12.5.3.1,Action,File Taxes 1,,Generic,,,2019-03-24 06:00:00 +0000,2019-03-23 05:06:54 +0000,30m,0,,
12.5.3.2,Action,File Taxes 2,,Generic,,,2019-04-06 00:00:00 +0000,2019-04-05 04:14:11 +0000,60m,0,,
12.5.4,Action,Health,,Generic,,,,,900m,0,,
12.5.4.1,Action,Visit Dr Rim,,Generic,,,,2019-07-23 07:00:00 +0000,30m,0,,
12.5.4.2,Action,Visit Walk in Clinic,,Generic,,,,2019-04-17 07:00:00 +0000,60m,0,,
12.5.4.3,Action,Visit Dr Rim,,Generic,,,2019-05-29 00:00:00 +0000,2019-05-28 20:35:11 +0000,30m,0,,
12.5.4.4,Action,Visit Vaden,,Generic,,,2019-04-05 00:00:00 +0000,2019-04-05 02:27:13 +0000,30m,0,,
12.5.4.5,Action,Visit Grace Dental,,Generic,,,2019-04-30 00:00:00 +0000,2019-04-24 23:41:18 +0000,60m,0,,
12.5.4.6,Action,Visit Dr Rim,,Generic,,,2019-03-30 00:00:00 +0000,2019-03-29 19:50:15 +0000,60m,0,,
13,Project,Spanish,active,,,,2020-01-01 01:00:00 +0000,,6000m,0,,
13.1,Action,Duolingo Chapter 2,,Spanish,,,2019-06-02 00:00:00 +0000,2019-06-04 00:35:01 +0000,,0,,
13.1.1,Action,Daily Learning Session,,Spanish,,,2019-03-07 07:30:00 +0000,2019-03-08 07:59:38 +0000,20m,0,,
13.1.2,Action,Daily Learning Session,,Spanish,,,2019-03-09 07:30:00 +0000,2019-03-10 07:15:54 +0000,20m,0,,
13.1.3,Action,Daily Learning Session,,Spanish,,,2019-03-11 06:30:00 +0000,2019-03-11 06:59:00 +0000,20m,0,,
13.1.4,Action,Daily Learning Session,,Spanish,,,2019-03-12 00:00:00 +0000,2019-03-12 06:04:53 +0000,20m,0,,
13.1.5,Action,Daily Learning Session,,Spanish,,,2019-03-13 06:59:00 +0000,2019-03-14 06:05:11 +0000,20m,0,,
13.1.6,Action,Daily Learning Session,,Spanish,,,2019-03-15 06:59:00 +0000,2019-03-15 06:57:29 +0000,20m,0,,
13.1.7,Action,Daily Learning Session,,Spanish,,,2019-03-16 06:59:00 +0000,2019-03-16 06:50:00 +0000,20m,0,,
13.1.8,Action,Daily Learning Session,,Spanish,,,2019-03-17 06:59:00 +0000,2019-03-19 06:53:26 +0000,20m,0,,
13.1.9,Action,Daily Learning Session,,Spanish,,,2019-03-20 06:59:00 +0000,2019-03-20 06:52:28 +0000,20m,0,,
13.1.10,Action,Daily Learning Session,,Spanish,,,2019-03-21 06:59:00 +0000,2019-03-20 07:00:00 +0000,20m,0,,
13.1.11,Action,Daily Learning Session,,Spanish,,,2019-03-23 06:59:00 +0000,2019-03-22 08:22:49 +0000,20m,0,,
13.1.12,Action,Daily Learning Session,,Spanish,,,2019-03-23 06:59:00 +0000,2019-03-23 05:56:18 +0000,20m,0,,
13.1.13,Action,Daily Learning Session,,Spanish,,,2019-03-24 06:59:00 +0000,2019-03-24 06:53:42 +0000,20m,0,,
13.1.14,Action,Daily Learning Session,,Spanish,,,2019-03-25 06:59:00 +0000,2019-03-25 06:35:28 +0000,20m,0,,
13.1.15,Action,Daily Learning Session,,Spanish,,,2019-03-26 06:59:00 +0000,2019-03-25 07:00:00 +0000,20m,0,,
13.1.16,Action,Daily Learning Session,,Spanish,,,2019-03-27 06:59:00 +0000,2019-03-26 07:00:00 +0000,20m,0,,
13.1.17,Action,Daily Learning Session,,Spanish,,,2019-03-28 06:59:00 +0000,2019-03-27 07:00:00 +0000,20m,0,,
13.1.18,Action,Daily Learning Session,,Spanish,,,2019-03-29 06:59:00 +0000,2019-03-29 07:00:00 +0000,20m,0,,
13.1.19,Action,Daily Learning Session,,Spanish,,,2019-03-31 06:59:00 +0000,2019-03-31 06:33:45 +0000,30m,0,,
13.1.20,Action,Daily Learning Session,,Spanish,,,2019-04-01 06:59:00 +0000,2019-03-31 07:00:00 +0000,20m,0,,
13.1.21,Action,Daily Learning Session,,Spanish,,,2019-04-02 06:59:00 +0000,2019-04-02 06:53:34 +0000,20m,0,,
13.1.22,Action,Daily Learning Session,,Spanish,,,2019-04-03 06:59:00 +0000,2019-04-03 07:00:00 +0000,30m,0,,
13.1.23,Action,Daily Learning Session,,Spanish,,,2019-04-07 06:59:00 +0000,2019-04-05 07:00:00 +0000,20m,0,,
13.1.24,Action,Daily Learning Session,,Spanish,,,2019-04-07 06:59:00 +0000,2019-04-08 06:52:59 +0000,20m,0,,
13.1.25,Action,Daily Learning Session,,Spanish,,,2019-04-09 06:59:00 +0000,2019-04-08 07:00:00 +0000,20m,0,,
13.1.26,Action,Daily Learning Session,,Spanish,,,2019-04-10 06:59:00 +0000,2019-04-12 06:51:56 +0000,30m,0,,
13.1.27,Action,Daily Learning Session,,Spanish,,,2019-04-13 06:59:00 +0000,2019-04-14 06:55:35 +0000,40m,0,,
13.1.28,Action,Daily Learning Session,,Spanish,,,2019-04-15 06:59:00 +0000,2019-04-14 07:00:00 +0000,20m,0,,
13.1.29,Action,Daily Learning Session,,Spanish,,,2019-04-16 06:59:00 +0000,2019-04-18 07:00:00 +0000,20m,0,,
13.1.30,Action,Daily Learning Session,,Spanish,,,2019-04-20 06:59:00 +0000,2019-04-20 07:00:00 +0000,20m,0,,
13.1.31,Action,Daily Learning Session,,Spanish,,,2019-04-21 06:59:00 +0000,2019-04-22 04:53:28 +0000,20m,0,,
13.1.32,Action,Daily Learning Session,,Spanish,,,2019-04-23 06:59:00 +0000,2019-04-22 07:00:00 +0000,20m,0,,
13.1.33,Action,Daily Learning Session,,Spanish,,,2019-04-24 06:59:00 +0000,2019-04-23 07:00:00 +0000,20m,0,,
13.1.34,Action,Daily Learning Session,,Spanish,,,2019-04-25 06:59:00 +0000,2019-04-24 07:00:00 +0000,10m,0,,
13.1.35,Action,Daily Learning Session,,Spanish,,,2019-04-26 06:59:00 +0000,2019-04-25 07:00:00 +0000,20m,0,,
13.1.36,Action,Daily Learning Session,,Spanish,,,2019-04-27 06:59:00 +0000,2019-04-26 22:49:53 +0000,20m,0,,
13.1.37,Action,Daily Learning Session,,Spanish,,,2019-04-28 06:59:00 +0000,2019-04-28 06:14:18 +0000,20m,0,,
13.1.38,Action,Daily Learning Session,,Spanish,,,2019-04-29 06:59:00 +0000,2019-04-29 06:42:35 +0000,30m,0,,
13.1.39,Action,Daily Learning Session,,Spanish,,,2019-04-30 06:59:00 +0000,2019-04-30 06:49:28 +0000,20m,0,,
13.1.40,Action,Daily Learning Session,,Spanish,,,2019-05-01 06:59:00 +0000,2019-05-02 06:12:09 +0000,20m,0,,
13.1.41,Action,Daily Learning Session,,Spanish,,,2019-05-03 06:59:00 +0000,2019-05-02 07:00:00 +0000,20m,0,,
13.1.42,Action,Daily Learning Session,,Spanish,,,2019-05-04 06:59:00 +0000,2019-05-04 06:48:37 +0000,20m,0,,
13.1.43,Action,Daily Learning Session,,Spanish,,,2019-05-05 06:59:00 +0000,2019-05-05 06:37:37 +0000,30m,0,,
13.1.44,Action,Daily Learning Session,,Spanish,,,2019-05-06 06:59:00 +0000,2019-05-06 06:25:50 +0000,20m,0,,
13.1.45,Action,Daily Learning Session,,Spanish,,,2019-05-07 06:59:00 +0000,2019-05-07 06:56:08 +0000,20m,0,,
13.1.46,Action,Daily Learning Session,,Spanish,,,2019-05-08 06:59:00 +0000,2019-05-07 05:00:00 +0000,20m,0,,
13.1.47,Action,Daily Learning Session,,Spanish,,,2019-05-09 06:59:00 +0000,2019-05-10 05:04:37 +0000,20m,0,,
13.1.48,Action,Daily Learning Session,,Spanish,,,2019-05-11 06:59:00 +0000,2019-05-12 00:10:33 +0000,20m,0,,
13.1.49,Action,Daily Learning Session,,Spanish,,,2019-05-13 06:59:00 +0000,2019-05-16 06:45:33 +0000,20m,0,,
13.1.50,Action,Daily Learning Session,,Spanish,,,2019-05-17 06:59:00 +0000,2019-05-16 07:00:00 +0000,10m,0,,
13.1.51,Action,Daily Learning Session,,Spanish,,,2019-05-18 06:59:00 +0000,2019-05-22 07:00:00 +0000,35m,0,,
13.1.52,Action,Daily Learning Session,,Spanish,,,2019-05-24 06:59:00 +0000,2019-05-24 03:33:29 +0000,20m,0,,
13.1.53,Action,Daily Learning Session,,Spanish,,,2019-05-25 06:59:00 +0000,2019-05-25 03:24:04 +0000,20m,0,,
13.1.54,Action,Daily Learning Session,,Spanish,,,2019-05-26 06:59:00 +0000,2019-05-27 02:33:48 +0000,20m,0,,
13.1.55,Action,Daily Learning Session,,Spanish,,,2019-05-30 00:00:00 +0000,2019-05-30 03:17:58 +0000,20m,0,,
13.1.56,Action,Daily Learning Session,,Spanish,,,2019-05-31 00:00:00 +0000,2019-06-03 08:40:21 +0000,20m,0,,
13.2,Action,Duolingo Chapter 3,,Spanish,,,2019-08-18 00:00:00 +0000,2019-08-18 06:10:05 +0000,,0,,
13.2.1,Action,Daily Learning Session,,Spanish,,,2019-06-06 00:00:00 +0000,2019-06-04 07:00:00 +0000,30m,0,,
13.2.2,Action,Daily Learning Session,,Spanish,,,2019-06-07 00:00:00 +0000,2019-06-05 07:00:00 +0000,30m,0,,
13.2.3,Action,Daily Learning Session,,Spanish,,,2019-06-08 00:00:00 +0000,2019-06-06 07:00:00 +0000,40m,0,,
13.2.4,Action,Daily Learning Session,,Spanish,,,2019-06-08 06:00:00 +0000,2019-06-09 03:16:59 +0000,20m,0,,
13.2.5,Action,Daily Learning Session,,Spanish,,,2019-06-10 06:00:00 +0000,2019-06-10 04:49:27 +0000,20m,0,,
13.2.6,Action,Daily Learning Session,,Spanish,,,2019-06-11 06:00:00 +0000,2019-06-14 06:51:38 +0000,20m,0,,
13.2.7,Action,Daily Learning Session,,Spanish,,,2019-06-15 06:00:00 +0000,2019-06-14 07:12:31 +0000,20m,0,,
13.2.8,Action,Daily Learning Session,,Spanish,,,2019-06-16 06:00:00 +0000,2019-06-15 04:23:12 +0000,20m,0,,
13.2.9,Action,Daily Learning Session,,Spanish,,,2019-06-16 06:00:00 +0000,2019-06-18 05:57:22 +0000,30m,0,,
13.2.10,Action,Daily Learning Session,,Spanish,,,2019-06-19 00:00:00 +0000,2019-06-19 06:28:46 +0000,20m,0,,
13.2.11,Action,Daily Learning Session,,Spanish,,,2019-06-20 00:00:00 +0000,2019-06-20 06:01:38 +0000,20m,0,,
13.2.12,Action,Daily Learning Session,,Spanish,,,2019-06-21 00:00:00 +0000,2019-06-21 07:00:00 +0000,20m,0,,
13.2.13,Action,Daily Learning Session,,Spanish,,,2019-06-23 00:00:00 +0000,2019-06-22 07:00:00 +0000,20m,0,,
13.2.14,Action,Daily Learning Session,,Spanish,,,2019-06-25 00:00:00 +0000,2019-06-25 06:28:29 +0000,20m,0,,
13.2.15,Action,Daily Learning Session,,Spanish,,,2019-06-26 00:00:00 +0000,2019-06-26 06:29:56 +0000,30m,0,,
13.2.16,Action,Daily Learning Session,,Spanish,,,2019-06-27 00:00:00 +0000,2019-06-28 06:05:28 +0000,30m,0,,
13.2.17,Action,Daily Learning Session,,Spanish,,,2019-06-29 00:00:00 +0000,2019-06-29 06:50:36 +0000,20m,0,,
13.2.18,Action,Daily Learning Session,,Spanish,,,2019-06-30 00:00:00 +0000,2019-07-02 06:41:48 +0000,20m,0,,
13.2.19,Action,Daily Learning Session,,Spanish,,,2019-07-03 00:00:00 +0000,2019-07-03 06:06:21 +0000,30m,0,R1234567,
13.2.20,Action,Daily Learning Session,,Spanish,,,2019-07-04 00:00:00 +0000,2019-07-04 06:01:26 +0000,20m,0,R1234567,
13.2.21,Action,Daily Learning Session,,Spanish,,,2019-07-05 00:00:00 +0000,2019-07-05 06:17:36 +0000,20m,0,R1234567,
13.2.22,Action,Daily Learning Session,,Spanish,,,2019-07-06 00:00:00 +0000,2019-07-06 06:38:00 +0000,20m,0,R1234567,
13.2.23,Action,Daily Learning Session,,Spanish,,,2019-07-07 00:00:00 +0000,2019-07-08 05:27:30 +0000,20m,0,R1234567,
13.2.24,Action,Daily Learning Session,,Spanish,,,2019-07-09 00:00:00 +0000,2019-07-09 07:00:00 +0000,20m,0,R1234567,
13.2.25,Action,Daily Learning Session,,Spanish,,,2019-07-11 00:00:00 +0000,2019-07-12 06:36:44 +0000,20m,0,R1234567,
13.2.26,Action,Daily Learning Session,,Spanish,,,2019-07-13 00:00:00 +0000,2019-07-13 06:06:43 +0000,20m,0,R1234567,
13.2.27,Action,Daily Learning Session,,Spanish,,,2019-07-14 00:00:00 +0000,2019-07-13 07:00:00 +0000,20m,0,R1234567,
13.2.28,Action,Daily Learning Session,,Spanish,,,2019-07-15 00:00:00 +0000,2019-07-15 07:00:00 +0000,20m,0,R1234567,
13.2.29,Action,Daily Learning Session,,Spanish,,,2019-07-17 00:00:00 +0000,2019-07-16 07:00:00 +0000,30m,0,R1234567,
13.2.30,Action,Daily Learning Session,,Spanish,,,2019-07-18 00:00:00 +0000,2019-07-20 06:48:44 +0000,20m,0,R1234567,
13.2.31,Action,Daily Learning Session,,Spanish,,,2019-07-21 00:00:00 +0000,2019-07-23 06:52:22 +0000,20m,0,R1234567,
13.2.32,Action,Daily Learning Session,,Spanish,,,2019-07-24 00:00:00 +0000,2019-07-24 06:06:17 +0000,20m,0,R1234567,
13.2.33,Action,Daily Learning Session,,Spanish,,,2019-07-25 00:00:00 +0000,2019-07-25 06:36:37 +0000,20m,0,R1234567,
13.2.34,Action,Daily Learning Session,,Spanish,,,2019-07-26 00:00:00 +0000,2019-07-27 05:28:22 +0000,20m,0,R1234567,
13.2.35,Action,Daily Learning Session,,Spanish,,,2019-07-28 00:00:00 +0000,2019-07-28 06:24:16 +0000,20m,0,R1234567,
13.2.36,Action,Daily Learning Session,,Spanish,,,2019-07-29 00:00:00 +0000,2019-07-29 07:09:28 +0000,20m,0,R1234567,
13.2.37,Action,Daily Learning Session,,Spanish,,,2019-07-31 00:00:00 +0000,2019-07-30 07:00:00 +0000,20m,0,R1234567,
13.2.38,Action,Daily Learning Session,,Spanish,,,2019-08-01 00:00:00 +0000,2019-08-02 06:23:30 +0000,20m,0,R1234567,
13.2.39,Action,Daily Learning Session,,Spanish,,,2019-08-03 00:00:00 +0000,2019-08-03 06:34:33 +0000,20m,0,R1234567,
13.2.40,Action,Daily Learning Session,,Spanish,,,2019-08-04 00:00:00 +0000,2019-08-03 07:00:00 +0000,20m,0,R1234567,
13.2.41,Action,Daily Learning Session,,Spanish,,,2019-08-05 06:00:00 +0000,2019-08-05 07:00:00 +0000,20m,0,R1234567,
13.2.42,Action,Daily Learning Session,,Spanish,,,2019-08-07 06:00:00 +0000,2019-08-08 06:31:18 +0000,30m,0,R1234567,
13.2.43,Action,Daily Learning Session,,Spanish,,,2019-08-09 06:00:00 +0000,2019-08-08 07:00:00 +0000,20m,0,R1234567,
13.2.44,Action,Daily Learning Session,,Spanish,,,2019-08-10 06:00:00 +0000,2019-08-10 07:00:00 +0000,20m,0,R1234567,
13.2.45,Action,Daily Learning Session,,Spanish,,,2019-08-12 06:00:00 +0000,2019-08-15 07:00:00 +0000,20m,0,R1234567,
13.2.46,Action,Daily Learning Session,,Spanish,,,2019-08-17 06:00:00 +0000,2019-08-16 07:00:00 +0000,20m,0,R1234567,
13.2.47,Action,Daily Learning Session,,Spanish,,,2019-08-18 06:00:00 +0000,2019-08-18 06:09:58 +0000,20m,0,R1234567,
13.3,Action,Duolingo Chapter 4,,Spanish,,,2019-10-16 00:00:00 +0000,,1200m,0,,
13.3.1,Action,Daily Learning Session,,Spanish,,,2019-08-19 06:00:00 +0000,2019-08-18 07:00:00 +0000,20m,0,R1234567,
13.3.2,Action,Daily Learning Session,,Spanish,,,2019-08-20 06:00:00 +0000,2019-08-19 07:00:00 +0000,20m,0,R1234567,
13.3.3,Action,Daily Learning Session,,Spanish,,,2019-08-23 06:00:00 +0000,2019-08-24 06:26:39 +0000,20m,0,R1234567,
13.3.4,Action,Daily Learning Session,,Spanish,,,2019-08-25 06:00:00 +0000,2019-08-25 05:21:14 +0000,20m,0,R1234567,
13.3.5,Action,Daily Learning Session,,Spanish,,,2019-08-26 06:00:00 +0000,2019-08-26 05:58:59 +0000,20m,0,R1234567,
13.3.6,Action,Daily Learning Session,,Spanish,,,2019-08-27 06:00:00 +0000,2019-08-26 07:00:00 +0000,20m,0,R1234567,
13.3.7,Action,Daily Learning Session,,Spanish,,,2019-08-28 06:00:00 +0000,2019-08-29 06:37:15 +0000,20m,0,R1234567,
13.3.8,Action,Daily Learning Session,,Spanish,,,2019-08-30 06:00:00 +0000,2019-08-31 04:04:27 +0000,20m,0,R1234567,
13.3.9,Action,Daily Learning Session,,Spanish,,,2019-09-01 06:00:00 +0000,2019-09-01 07:00:00 +0000,20m,0,R1234567,
13.3.10,Action,Daily Learning Session,,Spanish,,,2019-09-03 06:00:00 +0000,,20m,0,R1234567,
13.4,Action,Duolingo Chapter 5,,Spanish,,,2019-12-02 01:00:00 +0000,,1200m,0,,
13.5,Action,Duolingo Chapter 6,,Spanish,,,,,1200m,0,,
13.6,Action,Reading,,Spanish,,,,,600m,0,,
13.6.1,Action,Aug Goal,,Spanish,,,,,,0,,
13.6.1.1,Action,Learning session,,Spanish,,,2019-08-08 06:00:00 +0000,2019-08-07 07:00:00 +0000,10m,0,R1234567,
13.6.1.2,Action,Learning session,,Spanish,,,2019-08-09 06:00:00 +0000,2019-08-13 06:34:26 +0000,30m,0,R1234567,
13.6.1.3,Action,Learning session,,Spanish,,,2019-08-14 06:00:00 +0000,2019-08-14 06:59:19 +0000,10m,0,R1234567,
13.6.1.4,Action,Learning session,,Spanish,,,2019-08-15 06:00:00 +0000,2019-08-15 07:00:00 +0000,10m,0,R1234567,
13.6.1.5,Action,Learning session,,Spanish,,,2019-08-19 06:00:00 +0000,2019-08-20 06:41:31 +0000,10m,0,R1234567,
13.6.1.6,Action,Learning session,,Spanish,,,2019-08-21 06:00:00 +0000,2019-08-21 06:54:16 +0000,10m,0,R1234567,
13.6.1.7,Action,Learning session,,Spanish,,,2019-08-23 06:00:00 +0000,2019-08-22 07:00:00 +0000,10m,0,R1234567,
13.6.1.8,Action,Learning session,,Spanish,,,2019-09-04 06:00:00 +0000,,10m,0,R1234567,
13.6.1.9,Action,Learning session,,Spanish,,,2019-08-04 06:00:00 +0000,2019-08-04 07:00:00 +0000,10m,0,R1234567,
13.6.1.10,Action,Learning session,,Spanish,,,2019-08-06 06:00:00 +0000,2019-08-05 07:00:00 +0000,10m,0,R1234567,
13.6.1.11,Action,Learning session,,Spanish,,,2019-08-07 06:00:00 +0000,2019-08-06 07:00:00 +0000,10m,0,R1234567,
13.6.2,Action,July Goal,,Spanish,,,,2019-08-08 07:12:23 +0000,,0,,
13.6.2.1,Action,Learning session,,Spanish,,,2019-07-08 06:00:00 +0000,2019-07-08 05:47:56 +0000,15m,0,R1234567,
13.6.2.2,Action,Learning session,,Spanish,,,2019-07-09 06:00:00 +0000,2019-07-09 06:28:18 +0000,10m,0,R1234567,
13.6.2.3,Action,Learning session,,Spanish,,,2019-07-10 06:00:00 +0000,2019-07-10 04:39:02 +0000,20m,0,R1234567,
13.6.2.4,Action,Learning session,,Spanish,,,2019-07-11 06:00:00 +0000,2019-07-11 07:00:00 +0000,20m,0,R1234567,
13.6.2.5,Action,Learning session,,Spanish,,,2019-07-14 06:00:00 +0000,2019-07-12 07:00:00 +0000,10m,0,R1234567,
